region,category,parent,n_descendants,inclusive_query,exclusive_query,inclusive_count,exclusive_count,inclusive_url,exclusive_url,query_date,log10_inclusive_count_p1,norm_inclusive_count,log10_exclusive_count_p1,norm_exclusive_count
red nucleus,midbrain,midbrain,0,"((""red nucleus""[tiab] OR ""nucleus ruber""[tiab])) AND (""2015""[PDAT] : ""2025""[PDAT])","((""red nucleus""[tiab] OR ""nucleus ruber""[tiab])) AND (""2015""[PDAT] : ""2025""[PDAT])",580,580,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22red+nucleus%22%5Btiab%5D+OR+%22nucleus+ruber%22%5Btiab%5D%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22red+nucleus%22%5Btiab%5D+OR+%22nucleus+ruber%22%5Btiab%5D%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,2026-04-28,2.7642,0.3523,2.7642,0.3613
periaqueductal gray,midbrain,midbrain,0,"((""periaqueductal gray""[tiab] OR ""periaqueductal grey""[tiab] OR (""PAG""[tiab] AND (periaqueductal[tiab])))) AND (""2015""[PDAT] : ""2025""[PDAT])","((""periaqueductal gray""[tiab] OR ""periaqueductal grey""[tiab] OR (""PAG""[tiab] AND (periaqueductal[tiab])))) AND (""2015""[PDAT] : ""2025""[PDAT])",2099,2099,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22periaqueductal+gray%22%5Btiab%5D+OR+%22periaqueductal+grey%22%5Btiab%5D+OR+%28%22PAG%22%5Btiab%5D+AND+%28periaqueductal%5Btiab%5D%29%29%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22periaqueductal+gray%22%5Btiab%5D+OR+%22periaqueductal+grey%22%5Btiab%5D+OR+%28%22PAG%22%5Btiab%5D+AND+%28periaqueductal%5Btiab%5D%29%29%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,2026-04-28,3.3222,0.5277,3.3222,0.5412
interpeduncular nucleus,midbrain,midbrain,0,"((""interpeduncular nucleus""[tiab])) AND (""2015""[PDAT] : ""2025""[PDAT])","((""interpeduncular nucleus""[tiab])) AND (""2015""[PDAT] : ""2025""[PDAT])",170,170,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22interpeduncular+nucleus%22%5Btiab%5D%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22interpeduncular+nucleus%22%5Btiab%5D%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,2026-04-28,2.233,0.1853,2.233,0.1901
brainstem,brainstem,,17,"((""brainstem""[tiab] OR ""brain stem""[tiab])) AND (""2015""[PDAT] : ""2025""[PDAT])","(((""brainstem""[tiab] OR ""brain stem""[tiab])) NOT ((""locus coeruleus""[tiab] OR ""locus ceruleus""[tiab]) OR (""raphe nuclei""[tiab] OR ""raphe nucleus""[tiab]) OR (""dorsal raphe nucleus""[tiab] OR ""dorsal raphe""[tiab]) OR (""parabrachial nucleus""[tiab]) OR (""medulla oblongata""[tiab]) OR (""area postrema""[tiab]) OR (""nucleus tractus solitarius""[tiab] OR ""nucleus of the solitary tract""[tiab] OR (""NTS""[tiab] AND (solitar*[tiab] OR brainstem[tiab]))) OR (""pons""[tiab]) OR (""pontine nuclei""[tiab] OR ""pontine nucleus""[tiab]) OR (""midbrain""[tiab] OR ""mesencephalon""[tiab]) OR (""interpeduncular nucleus""[tiab]) OR (""periaqueductal gray""[tiab] OR ""periaqueductal grey""[tiab] OR (""PAG""[tiab] AND (periaqueductal[tiab]))) OR (""red nucleus""[tiab] OR ""nucleus ruber""[tiab]) OR (""inferior colliculus""[tiab]) OR (""superior colliculus""[tiab] OR (""SC""[tiab] AND (colliculus[tiab] OR tectum[tiab]))) OR (""ventral tegmental area""[tiab] OR (""VTA""[tiab] AND (tegmental[tiab] OR midbrain[tiab] OR dopamin*[tiab] OR mesolimbic[tiab]))) OR (""substantia nigra""[tiab] OR (""SNc""[tiab] AND (nigra[tiab] OR dopamin*[tiab])) OR (""SNr""[tiab] AND (nigra[tiab] OR reticulata[tiab]))))) AND (""2015""[PDAT] : ""2025""[PDAT])",25661,21374,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22brainstem%22%5Btiab%5D+OR+%22brain+stem%22%5Btiab%5D%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%28%22brainstem%22%5Btiab%5D+OR+%22brain+stem%22%5Btiab%5D%29%29+NOT+%28%28%22locus+coeruleus%22%5Btiab%5D+OR+%22locus+ceruleus%22%5Btiab%5D%29+OR+%28%22raphe+nuclei%22%5Btiab%5D+OR+%22raphe+nucleus%22%5Btiab%5D%29+OR+%28%22dorsal+raphe+nucleus%22%5Btiab%5D+OR+%22dorsal+raphe%22%5Btiab%5D%29+OR+%28%22parabrachial+nucleus%22%5Btiab%5D%29+OR+%28%22medulla+oblongata%22%5Btiab%5D%29+OR+%28%22area+postrema%22%5Btiab%5D%29+OR+%28%22nucleus+tractus+solitarius%22%5Btiab%5D+OR+%22nucleus+of+the+solitary+tract%22%5Btiab%5D+OR+%28%22NTS%22%5Btiab%5D+AND+%28solitar%2A%5Btiab%5D+OR+brainstem%5Btiab%5D%29%29%29+OR+%28%22pons%22%5Btiab%5D%29+OR+%28%22pontine+nuclei%22%5Btiab%5D+OR+%22pontine+nucleus%22%5Btiab%5D%29+OR+%28%22midbrain%22%5Btiab%5D+OR+%22mesencephalon%22%5Btiab%5D%29+OR+%28%22interpeduncular+nucleus%22%5Btiab%5D%29+OR+%28%22periaqueductal+gray%22%5Btiab%5D+OR+%22periaqueductal+grey%22%5Btiab%5D+OR+%28%22PAG%22%5Btiab%5D+AND+%28periaqueductal%5Btiab%5D%29%29%29+OR+%28%22red+nucleus%22%5Btiab%5D+OR+%22nucleus+ruber%22%5Btiab%5D%29+OR+%28%22inferior+colliculus%22%5Btiab%5D%29+OR+%28%22superior+colliculus%22%5Btiab%5D+OR+%28%22SC%22%5Btiab%5D+AND+%28colliculus%5Btiab%5D+OR+tectum%5Btiab%5D%29%29%29+OR+%28%22ventral+tegmental+area%22%5Btiab%5D+OR+%28%22VTA%22%5Btiab%5D+AND+%28tegmental%5Btiab%5D+OR+midbrain%5Btiab%5D+OR+dopamin%2A%5Btiab%5D+OR+mesolimbic%5Btiab%5D%29%29%29+OR+%28%22substantia+nigra%22%5Btiab%5D+OR+%28%22SNc%22%5Btiab%5D+AND+%28nigra%5Btiab%5D+OR+dopamin%2A%5Btiab%5D%29%29+OR+%28%22SNr%22%5Btiab%5D+AND+%28nigra%5Btiab%5D+OR+reticulata%5Btiab%5D%29%29%29%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,2026-04-28,4.4093,0.8694,4.3299,0.8661
pons,brainstem,brainstem,1,"((""pons""[tiab])) AND (""2015""[PDAT] : ""2025""[PDAT])","(((""pons""[tiab])) NOT ((""pontine nuclei""[tiab] OR ""pontine nucleus""[tiab]))) AND (""2015""[PDAT] : ""2025""[PDAT])",3619,3591,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22pons%22%5Btiab%5D%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%28%22pons%22%5Btiab%5D%29%29+NOT+%28%28%22pontine+nuclei%22%5Btiab%5D+OR+%22pontine+nucleus%22%5Btiab%5D%29%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,2026-04-28,3.5587,0.602,3.5553,0.6164
pontine nuclei,brainstem,pons,0,"((""pontine nuclei""[tiab] OR ""pontine nucleus""[tiab])) AND (""2015""[PDAT] : ""2025""[PDAT])","((""pontine nuclei""[tiab] OR ""pontine nucleus""[tiab])) AND (""2015""[PDAT] : ""2025""[PDAT])",173,173,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22pontine+nuclei%22%5Btiab%5D+OR+%22pontine+nucleus%22%5Btiab%5D%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22pontine+nuclei%22%5Btiab%5D+OR+%22pontine+nucleus%22%5Btiab%5D%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,2026-04-28,2.2405,0.1877,2.2405,0.1925
medulla oblongata,brainstem,brainstem,2,"((""medulla oblongata""[tiab])) AND (""2015""[PDAT] : ""2025""[PDAT])","(((""medulla oblongata""[tiab])) NOT ((""area postrema""[tiab]) OR (""nucleus tractus solitarius""[tiab] OR ""nucleus of the solitary tract""[tiab] OR (""NTS""[tiab] AND (solitar*[tiab] OR brainstem[tiab]))))) AND (""2015""[PDAT] : ""2025""[PDAT])",1329,1240,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22medulla+oblongata%22%5Btiab%5D%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%28%22medulla+oblongata%22%5Btiab%5D%29%29+NOT+%28%28%22area+postrema%22%5Btiab%5D%29+OR+%28%22nucleus+tractus+solitarius%22%5Btiab%5D+OR+%22nucleus+of+the+solitary+tract%22%5Btiab%5D+OR+%28%22NTS%22%5Btiab%5D+AND+%28solitar%2A%5Btiab%5D+OR+brainstem%5Btiab%5D%29%29%29%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,2026-04-28,3.1239,0.4653,3.0938,0.4676
nucleus tractus solitarius,brainstem,medulla oblongata,0,"((""nucleus tractus solitarius""[tiab] OR ""nucleus of the solitary tract""[tiab] OR (""NTS""[tiab] AND (solitar*[tiab] OR brainstem[tiab])))) AND (""2015""[PDAT] : ""2025""[PDAT])","((""nucleus tractus solitarius""[tiab] OR ""nucleus of the solitary tract""[tiab] OR (""NTS""[tiab] AND (solitar*[tiab] OR brainstem[tiab])))) AND (""2015""[PDAT] : ""2025""[PDAT])",1399,1399,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22nucleus+tractus+solitarius%22%5Btiab%5D+OR+%22nucleus+of+the+solitary+tract%22%5Btiab%5D+OR+%28%22NTS%22%5Btiab%5D+AND+%28solitar%2A%5Btiab%5D+OR+brainstem%5Btiab%5D%29%29%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22nucleus+tractus+solitarius%22%5Btiab%5D+OR+%22nucleus+of+the+solitary+tract%22%5Btiab%5D+OR+%28%22NTS%22%5Btiab%5D+AND+%28solitar%2A%5Btiab%5D+OR+brainstem%5Btiab%5D%29%29%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,2026-04-28,3.1461,0.4724,3.1461,0.4844
area postrema,brainstem,medulla oblongata,0,"((""area postrema""[tiab])) AND (""2015""[PDAT] : ""2025""[PDAT])","((""area postrema""[tiab])) AND (""2015""[PDAT] : ""2025""[PDAT])",578,578,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22area+postrema%22%5Btiab%5D%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22area+postrema%22%5Btiab%5D%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,2026-04-28,2.7627,0.3518,2.7627,0.3608
parabrachial nucleus,brainstem,brainstem,0,"((""parabrachial nucleus""[tiab])) AND (""2015""[PDAT] : ""2025""[PDAT])","((""parabrachial nucleus""[tiab])) AND (""2015""[PDAT] : ""2025""[PDAT])",618,618,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22parabrachial+nucleus%22%5Btiab%5D%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22parabrachial+nucleus%22%5Btiab%5D%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,2026-04-28,2.7917,0.3609,2.7917,0.3702
raphe nuclei,brainstem,brainstem,1,"((""raphe nuclei""[tiab] OR ""raphe nucleus""[tiab])) AND (""2015""[PDAT] : ""2025""[PDAT])","(((""raphe nuclei""[tiab] OR ""raphe nucleus""[tiab])) NOT ((""dorsal raphe nucleus""[tiab] OR ""dorsal raphe""[tiab]))) AND (""2015""[PDAT] : ""2025""[PDAT])",1729,619,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22raphe+nuclei%22%5Btiab%5D+OR+%22raphe+nucleus%22%5Btiab%5D%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%28%22raphe+nuclei%22%5Btiab%5D+OR+%22raphe+nucleus%22%5Btiab%5D%29%29+NOT+%28%28%22dorsal+raphe+nucleus%22%5Btiab%5D+OR+%22dorsal+raphe%22%5Btiab%5D%29%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,2026-04-28,3.238,0.5012,2.7924,0.3704
dorsal raphe nucleus,brainstem,raphe nuclei,0,"((""dorsal raphe nucleus""[tiab] OR ""dorsal raphe""[tiab])) AND (""2015""[PDAT] : ""2025""[PDAT])","((""dorsal raphe nucleus""[tiab] OR ""dorsal raphe""[tiab])) AND (""2015""[PDAT] : ""2025""[PDAT])",1503,1503,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22dorsal+raphe+nucleus%22%5Btiab%5D+OR+%22dorsal+raphe%22%5Btiab%5D%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22dorsal+raphe+nucleus%22%5Btiab%5D+OR+%22dorsal+raphe%22%5Btiab%5D%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,2026-04-28,3.1772,0.4821,3.1772,0.4945
locus coeruleus,brainstem,brainstem,0,"((""locus coeruleus""[tiab] OR ""locus ceruleus""[tiab])) AND (""2015""[PDAT] : ""2025""[PDAT])","((""locus coeruleus""[tiab] OR ""locus ceruleus""[tiab])) AND (""2015""[PDAT] : ""2025""[PDAT])",2997,2997,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22locus+coeruleus%22%5Btiab%5D+OR+%22locus+ceruleus%22%5Btiab%5D%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22locus+coeruleus%22%5Btiab%5D+OR+%22locus+ceruleus%22%5Btiab%5D%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,2026-04-28,3.4768,0.5763,3.4768,0.5911
cerebellum,cerebellum,,7,"((""cerebellum""[tiab])) AND (""2015""[PDAT] : ""2025""[PDAT])","(((""cerebellum""[tiab])) NOT ((""flocculus""[tiab]) OR (""cerebellar nuclei""[tiab] OR ""deep cerebellar nuclei""[tiab]) OR (""interposed nucleus""[tiab] OR ""nucleus interpositus""[tiab]) OR (""fastigial nucleus""[tiab]) OR (""cerebellar dentate nucleus""[tiab] OR ""dentate nucleus of the cerebellum""[tiab]) OR (""cerebellar vermis""[tiab]) OR (""cerebellar cortex""[tiab]))) AND (""2015""[PDAT] : ""2025""[PDAT])",23511,21799,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22cerebellum%22%5Btiab%5D%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%28%22cerebellum%22%5Btiab%5D%29%29+NOT+%28%28%22flocculus%22%5Btiab%5D%29+OR+%28%22cerebellar+nuclei%22%5Btiab%5D+OR+%22deep+cerebellar+nuclei%22%5Btiab%5D%29+OR+%28%22interposed+nucleus%22%5Btiab%5D+OR+%22nucleus+interpositus%22%5Btiab%5D%29+OR+%28%22fastigial+nucleus%22%5Btiab%5D%29+OR+%28%22cerebellar+dentate+nucleus%22%5Btiab%5D+OR+%22dentate+nucleus+of+the+cerebellum%22%5Btiab%5D%29+OR+%28%22cerebellar+vermis%22%5Btiab%5D%29+OR+%28%22cerebellar+cortex%22%5Btiab%5D%29%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,2026-04-28,4.3713,0.8575,4.3385,0.8688
cerebellar cortex,cerebellum,cerebellum,0,"((""cerebellar cortex""[tiab])) AND (""2015""[PDAT] : ""2025""[PDAT])","((""cerebellar cortex""[tiab])) AND (""2015""[PDAT] : ""2025""[PDAT])",1492,1492,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22cerebellar+cortex%22%5Btiab%5D%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22cerebellar+cortex%22%5Btiab%5D%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,2026-04-28,3.1741,0.4811,3.1741,0.4935
cerebellar vermis,cerebellum,cerebellum,0,"((""cerebellar vermis""[tiab])) AND (""2015""[PDAT] : ""2025""[PDAT])","((""cerebellar vermis""[tiab])) AND (""2015""[PDAT] : ""2025""[PDAT])",922,922,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22cerebellar+vermis%22%5Btiab%5D%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22cerebellar+vermis%22%5Btiab%5D%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,2026-04-28,2.9652,0.4155,2.9652,0.4261
cerebellar nuclei,cerebellum,cerebellum,3,"((""cerebellar nuclei""[tiab] OR ""deep cerebellar nuclei""[tiab])) AND (""2015""[PDAT] : ""2025""[PDAT])","(((""cerebellar nuclei""[tiab] OR ""deep cerebellar nuclei""[tiab])) NOT ((""interposed nucleus""[tiab] OR ""nucleus interpositus""[tiab]) OR (""fastigial nucleus""[tiab]) OR (""cerebellar dentate nucleus""[tiab] OR ""dentate nucleus of the cerebellum""[tiab]))) AND (""2015""[PDAT] : ""2025""[PDAT])",623,579,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22cerebellar+nuclei%22%5Btiab%5D+OR+%22deep+cerebellar+nuclei%22%5Btiab%5D%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%28%22cerebellar+nuclei%22%5Btiab%5D+OR+%22deep+cerebellar+nuclei%22%5Btiab%5D%29%29+NOT+%28%28%22interposed+nucleus%22%5Btiab%5D+OR+%22nucleus+interpositus%22%5Btiab%5D%29+OR+%28%22fastigial+nucleus%22%5Btiab%5D%29+OR+%28%22cerebellar+dentate+nucleus%22%5Btiab%5D+OR+%22dentate+nucleus+of+the+cerebellum%22%5Btiab%5D%29%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,2026-04-28,2.7952,0.362,2.7634,0.3611
dentate nucleus (cerebellar),cerebellum,cerebellar nuclei,0,"((""cerebellar dentate nucleus""[tiab] OR ""dentate nucleus of the cerebellum""[tiab])) AND (""2015""[PDAT] : ""2025""[PDAT])","((""cerebellar dentate nucleus""[tiab] OR ""dentate nucleus of the cerebellum""[tiab])) AND (""2015""[PDAT] : ""2025""[PDAT])",147,147,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22cerebellar+dentate+nucleus%22%5Btiab%5D+OR+%22dentate+nucleus+of+the+cerebellum%22%5Btiab%5D%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22cerebellar+dentate+nucleus%22%5Btiab%5D+OR+%22dentate+nucleus+of+the+cerebellum%22%5Btiab%5D%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,2026-04-28,2.1703,0.1656,2.1703,0.1698
fastigial nucleus,cerebellum,cerebellar nuclei,0,"((""fastigial nucleus""[tiab])) AND (""2015""[PDAT] : ""2025""[PDAT])","((""fastigial nucleus""[tiab])) AND (""2015""[PDAT] : ""2025""[PDAT])",111,111,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22fastigial+nucleus%22%5Btiab%5D%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22fastigial+nucleus%22%5Btiab%5D%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,2026-04-28,2.0492,0.1275,2.0492,0.1308
interposed nucleus,cerebellum,cerebellar nuclei,0,"((""interposed nucleus""[tiab] OR ""nucleus interpositus""[tiab])) AND (""2015""[PDAT] : ""2025""[PDAT])","((""interposed nucleus""[tiab] OR ""nucleus interpositus""[tiab])) AND (""2015""[PDAT] : ""2025""[PDAT])",43,43,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22interposed+nucleus%22%5Btiab%5D+OR+%22nucleus+interpositus%22%5Btiab%5D%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22interposed+nucleus%22%5Btiab%5D+OR+%22nucleus+interpositus%22%5Btiab%5D%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,2026-04-28,1.6435,0.0,1.6435,0.0
